datetime,symbol,open,high,low,close,volume
2009-03-12 05:30:00,NASDAQ:SIGI,11.29,12.16,10.87,12.12,405290.0
2009-03-13 05:30:00,NASDAQ:SIGI,12.16,12.42,11.89,12.35,162679.0
2009-03-16 05:30:00,NASDAQ:SIGI,12.45,12.92,12.07,12.1,312971.0
2009-03-17 05:30:00,NASDAQ:SIGI,12.37,12.95,12.2,12.95,269959.0
2009-03-18 05:30:00,NASDAQ:SIGI,12.9,13.1735,12.44,13.17,553684.0
2009-03-19 05:30:00,NASDAQ:SIGI,13.36,13.48,12.65,12.69,322333.0
2009-03-20 05:30:00,NASDAQ:SIGI,12.84,13.12,12.44,12.48,548994.0
2009-03-23 05:30:00,NASDAQ:SIGI,12.85,13.21,12.61,13.16,615435.0
2009-03-24 05:30:00,NASDAQ:SIGI,12.89,13.48,12.16,12.17,370936.0
2009-03-25 05:30:00,NASDAQ:SIGI,12.37,12.81,12.12,12.81,535350.0
2009-03-26 05:30:00,NASDAQ:SIGI,12.99,13.01,12.6,12.95,435698.0
2009-03-27 05:30:00,NASDAQ:SIGI,12.65,12.89,12.385,12.5,358655.0
2009-03-30 05:30:00,NASDAQ:SIGI,12.16,12.31,11.81,11.84,461787.0
2009-03-31 05:30:00,NASDAQ:SIGI,12.05,12.38,11.69,12.16,289902.0
2009-04-01 05:30:00,NASDAQ:SIGI,11.93,12.47,11.77,12.22,474554.0
2009-04-02 05:30:00,NASDAQ:SIGI,12.57,12.84,12.08,12.81,479723.0
2009-04-03 05:30:00,NASDAQ:SIGI,12.81,13.09,12.46,13.08,184694.0
2009-04-06 05:30:00,NASDAQ:SIGI,12.86,13.0,12.66,12.88,237026.0
2009-04-07 05:30:00,NASDAQ:SIGI,12.63,12.89,12.45,12.49,245604.0
2009-04-08 05:30:00,NASDAQ:SIGI,12.57,12.84,12.47,12.8,188915.0
2009-04-09 05:30:00,NASDAQ:SIGI,13.1,13.88,12.77,13.88,409209.0
2009-04-13 05:30:00,NASDAQ:SIGI,13.65,14.37,13.48,14.35,306965.0
2009-04-14 05:30:00,NASDAQ:SIGI,14.04,14.19,13.02,13.08,457789.0
2009-04-15 05:30:00,NASDAQ:SIGI,12.98,13.7,12.82,13.64,280775.0
2009-04-16 05:30:00,NASDAQ:SIGI,13.84,13.84,12.94,13.13,450867.0
2009-04-17 05:30:00,NASDAQ:SIGI,13.18,13.18,12.62,12.71,389044.0
