datetime,symbol,open,high,low,close,volume
2009-03-11 05:30:00,NASDAQ:SPPI,1.45,1.54,1.45,1.54,180471.0
2009-03-12 05:30:00,NASDAQ:SPPI,1.57,1.57,1.44,1.5,77456.0
2009-03-13 05:30:00,NASDAQ:SPPI,1.53,1.56,1.45,1.49,55992.0
2009-03-16 05:30:00,NASDAQ:SPPI,1.57,1.57,1.45,1.51,100353.0
2009-03-17 05:30:00,NASDAQ:SPPI,1.47,1.51,1.4,1.5001,74767.0
2009-03-18 05:30:00,NASDAQ:SPPI,1.44,1.52,1.44,1.5,83580.0
2009-03-19 05:30:00,NASDAQ:SPPI,1.48,1.49,1.42,1.48,184506.0
2009-03-20 05:30:00,NASDAQ:SPPI,1.5,1.5,1.45,1.5,272104.0
2009-03-23 05:30:00,NASDAQ:SPPI,1.49,1.5,1.48,1.49,65614.0
2009-03-24 05:30:00,NASDAQ:SPPI,1.48,1.51,1.48,1.49,126354.0
2009-03-25 05:30:00,NASDAQ:SPPI,1.48,1.55,1.48,1.53,143785.0
2009-03-26 05:30:00,NASDAQ:SPPI,1.82,1.83,1.64,1.83,473427.0
2009-03-27 05:30:00,NASDAQ:SPPI,1.92,2.1,1.79,1.88,825629.0
2009-03-30 05:30:00,NASDAQ:SPPI,1.92,1.92,1.75,1.8,210917.0
2009-03-31 05:30:00,NASDAQ:SPPI,1.8,1.8,1.74,1.75,95808.0
2009-04-01 05:30:00,NASDAQ:SPPI,1.8,1.87,1.75,1.83,120478.0
2009-04-02 05:30:00,NASDAQ:SPPI,1.83,2.1,1.77,1.78,604095.0
2009-04-03 05:30:00,NASDAQ:SPPI,1.79,1.89,1.79,1.82,186714.0
2009-04-06 05:30:00,NASDAQ:SPPI,1.89,2.01,1.82,2.01,277945.0
2009-04-07 05:30:00,NASDAQ:SPPI,2.0,2.17,1.92,2.06,325219.0
2009-04-08 05:30:00,NASDAQ:SPPI,2.11,2.5,2.075,2.5,790952.0
2009-04-09 05:30:00,NASDAQ:SPPI,2.55,2.76,2.55,2.62,682684.0
2009-04-13 05:30:00,NASDAQ:SPPI,2.62,2.62,2.2,2.5,549315.0
2009-04-14 05:30:00,NASDAQ:SPPI,2.53,2.53,2.21,2.25,310444.0
2009-04-15 05:30:00,NASDAQ:SPPI,2.2,2.51,2.2,2.51,344137.0
2009-04-16 05:30:00,NASDAQ:SPPI,2.53,2.66,2.48,2.54,389398.0
2009-04-17 05:30:00,NASDAQ:SPPI,2.55,2.63,2.51,2.51,238707.0
2009-04-20 05:30:00,NASDAQ:SPPI,2.44,2.6,2.41,2.45,280256.0
