datetime,symbol,open,high,low,close,volume
2021-06-17 05:30:00,NASDAQ:VERV,30.0,33.96,29.5,31.92,4168693.0
2021-06-18 05:30:00,NASDAQ:VERV,33.39,39.84,32.0001,38.05,1323209.0
2021-06-21 05:30:00,NASDAQ:VERV,37.63,38.95,35.06,37.0,452185.0
2021-06-22 05:30:00,NASDAQ:VERV,37.0,40.53,33.4,39.04,712827.0
2021-06-23 05:30:00,NASDAQ:VERV,38.86,39.8787,37.19,37.19,339833.0
2021-06-24 05:30:00,NASDAQ:VERV,37.52,38.765,35.9,36.39,432643.0
2021-06-25 05:30:00,NASDAQ:VERV,36.56,37.2907,35.3,35.99,214908.0
2021-06-28 05:30:00,NASDAQ:VERV,41.96,48.86,41.88,45.0,1479206.0
2021-06-29 05:30:00,NASDAQ:VERV,44.82,55.38,43.1,54.25,929669.0
2021-06-30 05:30:00,NASDAQ:VERV,58.52,73.8,57.925,60.25,1582626.0
2021-07-01 05:30:00,NASDAQ:VERV,62.0,66.6,52.0,53.14,748260.0
2021-07-02 05:30:00,NASDAQ:VERV,53.16,55.9999,49.98,50.14,336606.0
2021-07-06 05:30:00,NASDAQ:VERV,49.84,49.99,45.9,47.72,337695.0
2021-07-07 05:30:00,NASDAQ:VERV,48.2,49.5058,46.87,47.84,144621.0
2021-07-08 05:30:00,NASDAQ:VERV,46.29,47.99,45.51,46.25,279541.0
2021-07-09 05:30:00,NASDAQ:VERV,46.7,47.3992,45.01,46.0,201380.0
2021-07-12 05:30:00,NASDAQ:VERV,47.03,49.03,46.89,48.2,378666.0
2021-07-13 05:30:00,NASDAQ:VERV,48.4,57.57,48.2,53.15,963483.0
2021-07-14 05:30:00,NASDAQ:VERV,53.76,53.95,49.36,49.73,468025.0
2021-07-15 05:30:00,NASDAQ:VERV,51.1672,51.1672,46.15,46.67,321630.0
2021-07-16 05:30:00,NASDAQ:VERV,46.8,51.44,46.57,48.57,796723.0
2021-07-19 05:30:00,NASDAQ:VERV,49.01,51.23,48.09,51.08,480479.0
2021-07-20 05:30:00,NASDAQ:VERV,51.45,53.4677,49.41,50.86,486066.0
2021-07-21 05:30:00,NASDAQ:VERV,50.72,56.2173,49.1,54.19,400617.0
2021-07-22 05:30:00,NASDAQ:VERV,53.54,54.31,49.12,52.13,635677.0
2021-07-23 05:30:00,NASDAQ:VERV,51.5,52.4477,50.38,52.29,319667.0
2021-07-26 05:30:00,NASDAQ:VERV,53.0,54.935,51.58,52.52,219834.0
2021-07-27 05:30:00,NASDAQ:VERV,52.44,53.49,49.1,49.92,291301.0
2021-07-28 05:30:00,NASDAQ:VERV,49.78,57.07,49.78,55.56,250529.0
2021-07-29 05:30:00,NASDAQ:VERV,56.29,59.94,54.08,58.47,325978.0
2021-07-30 05:30:00,NASDAQ:VERV,59.11,60.5,58.0,59.43,179809.0
2021-08-02 05:30:00,NASDAQ:VERV,59.45,67.6,57.6511,65.15,616491.0
2021-08-03 05:30:00,NASDAQ:VERV,65.97,68.4927,60.35,61.74,299759.0
2021-08-04 05:30:00,NASDAQ:VERV,61.97,67.605,61.29,63.85,284129.0
2021-08-05 05:30:00,NASDAQ:VERV,63.85,71.34,63.85,69.2,347053.0
2021-08-06 05:30:00,NASDAQ:VERV,69.92,70.2,63.79,68.08,292700.0
2021-08-09 05:30:00,NASDAQ:VERV,68.03,69.99,66.3508,69.25,273232.0
2021-08-10 05:30:00,NASDAQ:VERV,69.77,69.77,66.64,68.99,226907.0
2021-08-11 05:30:00,NASDAQ:VERV,69.05,70.0,65.53,67.18,133290.0
2021-08-12 05:30:00,NASDAQ:VERV,67.5,67.5,59.2,60.09,342302.0
2021-08-13 05:30:00,NASDAQ:VERV,60.17,62.46,56.53,60.0,237293.0
2021-08-16 05:30:00,NASDAQ:VERV,59.31,60.7,55.82,60.0,206390.0
2021-08-17 05:30:00,NASDAQ:VERV,59.57,60.465,56.25,59.18,233865.0
2021-08-18 05:30:00,NASDAQ:VERV,59.63,63.32,58.3,61.99,253624.0
2021-08-19 05:30:00,NASDAQ:VERV,61.73,66.88,60.68,64.01,196076.0
2021-08-20 05:30:00,NASDAQ:VERV,63.83,65.345,62.32,63.31,260789.0
2021-08-23 05:30:00,NASDAQ:VERV,64.15,66.2699,62.85,65.05,548551.0
2021-08-24 05:30:00,NASDAQ:VERV,65.18,65.45,63.0601,63.44,255215.0
2021-08-25 05:30:00,NASDAQ:VERV,62.8,65.92,61.59,64.94,213212.0
2021-08-26 05:30:00,NASDAQ:VERV,64.58,71.0,64.47,65.81,293637.0
2021-08-27 05:30:00,NASDAQ:VERV,66.62,70.96,63.97,70.33,256945.0
2021-08-30 05:30:00,NASDAQ:VERV,70.78,74.4416,66.58,68.25,232351.0
2021-08-31 05:30:00,NASDAQ:VERV,68.4,70.35,67.09,69.96,194471.0
2021-09-01 05:30:00,NASDAQ:VERV,70.35,73.52,69.2,70.7,180734.0
2021-09-02 05:30:00,NASDAQ:VERV,70.47,72.785,70.0,71.46,236199.0
2021-09-03 05:30:00,NASDAQ:VERV,71.44,72.5,69.25,71.39,343419.0
2021-09-07 05:30:00,NASDAQ:VERV,72.67,78.0,67.26,70.46,461090.0
2021-09-08 05:30:00,NASDAQ:VERV,70.87,71.87,66.16,70.07,391732.0
2021-09-09 05:30:00,NASDAQ:VERV,70.3,74.22,69.99,73.26,372306.0
2021-09-10 05:30:00,NASDAQ:VERV,73.44,75.55,73.33,73.99,295466.0
