datetime,symbol,open,high,low,close,volume
2009-03-12 05:30:00,NASDAQ:WBA,22.64,23.50999,22.36,23.42999,6116551.0
2009-03-13 05:30:00,NASDAQ:WBA,23.48,24.10001,23.48,23.88,6638805.0
2009-03-16 05:30:00,NASDAQ:WBA,24.02,24.35001,23.36,23.44,7317031.0
2009-03-17 05:30:00,NASDAQ:WBA,23.41,24.35001,23.39,24.3,9941438.0
2009-03-18 05:30:00,NASDAQ:WBA,24.19,24.36,23.62,24.02,8838266.0
2009-03-19 05:30:00,NASDAQ:WBA,24.22,24.47,23.67,24.05,8388102.0
2009-03-20 05:30:00,NASDAQ:WBA,24.28,24.81,24.03999,24.28999,11682090.0
2009-03-23 05:30:00,NASDAQ:WBA,25.8,27.14999,25.53,26.58,19491024.0
2009-03-24 05:30:00,NASDAQ:WBA,26.33,26.67,26.10001,26.38,10064832.0
2009-03-25 05:30:00,NASDAQ:WBA,26.52,27.5,26.45,26.83,11684988.0
2009-03-26 05:30:00,NASDAQ:WBA,27.0,27.0,26.3,26.56,9754984.0
2009-03-27 05:30:00,NASDAQ:WBA,26.28999,26.87,26.14,26.39,7664621.0
2009-03-30 05:30:00,NASDAQ:WBA,25.94,26.16,25.64999,25.99001,6432609.0
2009-03-31 05:30:00,NASDAQ:WBA,26.25,26.39,25.74001,25.96001,9304840.0
2009-04-01 05:30:00,NASDAQ:WBA,25.59,26.63,25.5,26.5,8903754.0
2009-04-02 05:30:00,NASDAQ:WBA,27.25,28.0,27.08,27.39,10983715.0
2009-04-03 05:30:00,NASDAQ:WBA,27.36,27.55,26.62,26.91,13963188.0
2009-04-06 05:30:00,NASDAQ:WBA,26.64,26.94,26.34,26.92999,7978160.0
2009-04-07 05:30:00,NASDAQ:WBA,26.57001,27.63,26.38,27.39999,9919004.0
2009-04-08 05:30:00,NASDAQ:WBA,27.55,28.0,27.25,27.72,6365664.0
2009-04-09 05:30:00,NASDAQ:WBA,27.95,29.10001,27.75999,28.98,10712855.0
2009-04-13 05:30:00,NASDAQ:WBA,28.82001,29.35001,28.73,29.17,5820113.0
2009-04-14 05:30:00,NASDAQ:WBA,28.85001,29.25,28.42999,28.89999,7564770.0
2009-04-15 05:30:00,NASDAQ:WBA,28.78999,29.07001,28.02,29.03999,7486676.0
2009-04-16 05:30:00,NASDAQ:WBA,29.27,30.64999,28.94,30.39,12653387.0
2009-04-17 05:30:00,NASDAQ:WBA,30.53,30.69,29.53,30.02,11554121.0
2009-04-20 05:30:00,NASDAQ:WBA,29.64,30.21001,29.55,30.10001,10570105.0
2009-04-21 05:30:00,NASDAQ:WBA,29.89,30.74001,29.5,30.62,7487645.0
2009-04-22 05:30:00,NASDAQ:WBA,30.32001,30.67,29.75999,29.86,8323004.0
2009-04-23 05:30:00,NASDAQ:WBA,29.73,30.0,28.89999,29.35001,7876082.0
2009-04-24 05:30:00,NASDAQ:WBA,29.66,29.94,29.09,29.59,6396887.0
2009-04-27 05:30:00,NASDAQ:WBA,30.0,30.17,29.12,29.25,9671766.0
2009-04-28 05:30:00,NASDAQ:WBA,29.21001,30.36,28.94,30.0,6491398.0
2009-04-29 05:30:00,NASDAQ:WBA,30.25999,31.77,30.0,31.14,10402227.0
2009-04-30 05:30:00,NASDAQ:WBA,31.46001,31.89999,31.10001,31.42999,8998254.0
2009-05-01 05:30:00,NASDAQ:WBA,31.42999,31.64,30.7,31.53,8225203.0
2009-05-04 05:30:00,NASDAQ:WBA,31.71001,32.2,31.3,31.52,8322461.0
2009-05-05 05:30:00,NASDAQ:WBA,31.38,32.03999,31.03,31.42,7582836.0
2009-05-06 05:30:00,NASDAQ:WBA,31.38,31.78999,31.0,31.21001,5964699.0
2009-05-07 05:30:00,NASDAQ:WBA,31.63,31.63,30.25,30.52,8218926.0
2009-05-08 05:30:00,NASDAQ:WBA,30.77,31.64,30.66,31.39,6560211.0
2009-05-11 05:30:00,NASDAQ:WBA,31.02,31.55,30.71001,31.11,4795598.0
2009-05-12 05:30:00,NASDAQ:WBA,31.25,31.63,30.89,31.44,5210578.0
2009-05-13 05:30:00,NASDAQ:WBA,30.85001,31.13,29.96001,30.16,5591582.0
2009-05-14 05:30:00,NASDAQ:WBA,30.14999,30.69,29.91,30.14,5468156.0
2009-05-15 05:30:00,NASDAQ:WBA,30.03,30.13,29.36,29.78,8843648.0
2009-05-18 05:30:00,NASDAQ:WBA,30.07001,30.72,29.8,30.7,6393879.0
