datetime,symbol,open,high,low,close,volume
2009-03-12 05:30:00,NYSE:WBS,3.92,4.51,3.63,4.46,1517030.0
2009-03-13 05:30:00,NYSE:WBS,4.53,4.62,4.27,4.62,1246829.0
2009-03-16 05:30:00,NYSE:WBS,4.7,4.88,4.11,4.23,1826763.0
2009-03-17 05:30:00,NYSE:WBS,4.2,4.44,3.99,4.44,1261578.0
2009-03-18 05:30:00,NYSE:WBS,4.39,4.73,4.19,4.73,1467229.0
2009-03-19 05:30:00,NYSE:WBS,4.82,4.91,4.15,4.31,1291224.0
2009-03-20 05:30:00,NYSE:WBS,4.36,4.39,4.05,4.32,1347739.0
2009-03-23 05:30:00,NYSE:WBS,4.9,5.19,4.55,5.19,1534420.0
2009-03-24 05:30:00,NYSE:WBS,5.08,5.12,4.33,4.38,1477778.0
2009-03-25 05:30:00,NYSE:WBS,4.45,4.85,4.11,4.45,1246950.0
2009-03-26 05:30:00,NYSE:WBS,4.58,4.704,4.32,4.68,805436.0
2009-03-27 05:30:00,NYSE:WBS,4.59,4.68,4.35,4.43,605821.0
2009-03-30 05:30:00,NYSE:WBS,4.02,4.35,3.99,3.99,863821.0
2009-03-31 05:30:00,NYSE:WBS,4.07,4.25,4.07,4.25,742735.0
2009-04-01 05:30:00,NYSE:WBS,4.14,4.66,4.0,4.6,940030.0
2009-04-02 05:30:00,NYSE:WBS,4.87,5.48,4.61,4.7,1223972.0
2009-04-03 05:30:00,NYSE:WBS,4.6,4.92,4.38,4.92,741365.0
2009-04-06 05:30:00,NYSE:WBS,4.9,4.95,4.6,4.62,536971.0
2009-04-07 05:30:00,NYSE:WBS,4.52,5.0,4.51,4.51,958975.0
2009-04-08 05:30:00,NYSE:WBS,4.6,4.86,4.4,4.56,796453.0
2009-04-09 05:30:00,NYSE:WBS,5.01,5.47,4.85,5.47,1648758.0
2009-04-13 05:30:00,NYSE:WBS,5.4,5.84,5.15,5.79,1119691.0
2009-04-14 05:30:00,NYSE:WBS,5.71,5.9,5.29,5.29,1119589.0
