datetime,symbol,open,high,low,close,volume
2009-03-12 05:30:00,NASDAQ:WEN,4.35,4.95,4.3,4.84,8499910.0
2009-03-13 05:30:00,NASDAQ:WEN,4.9,4.95,4.66,4.73,3780507.0
2009-03-16 05:30:00,NASDAQ:WEN,4.79,4.99,4.7,4.74,3280577.0
2009-03-17 05:30:00,NASDAQ:WEN,4.75,5.05,4.69,5.05,3893243.0
2009-03-18 05:30:00,NASDAQ:WEN,5.02,5.47,5.0,5.36,10142828.0
2009-03-19 05:30:00,NASDAQ:WEN,5.4,5.49,5.16,5.24,3732912.0
2009-03-20 05:30:00,NASDAQ:WEN,5.23,5.3599,5.06,5.06,4602262.0
2009-03-23 05:30:00,NASDAQ:WEN,5.16,5.49,5.11,5.39,6337938.0
2009-03-24 05:30:00,NASDAQ:WEN,5.3,5.38,5.12,5.13,4589672.0
2009-03-25 05:30:00,NASDAQ:WEN,5.19,5.43,5.01,5.27,4398824.0
2009-03-26 05:30:00,NASDAQ:WEN,5.32,5.57,5.24,5.46,5376473.0
2009-03-27 05:30:00,NASDAQ:WEN,5.36,5.39,5.0112,5.13,7659262.0
2009-03-30 05:30:00,NASDAQ:WEN,5.01,5.04,4.83,4.98,3354335.0
2009-03-31 05:30:00,NASDAQ:WEN,5.03,5.18,4.93,5.03,4278145.0
2009-04-01 05:30:00,NASDAQ:WEN,4.95,5.09,4.87,5.0,9099176.0
2009-04-02 05:30:00,NASDAQ:WEN,5.12,5.17,5.0,5.02,8832223.0
2009-04-03 05:30:00,NASDAQ:WEN,5.04,5.11,5.0,5.07,6880457.0
2009-04-06 05:30:00,NASDAQ:WEN,5.03,5.27,5.01,5.23,6074531.0
2009-04-07 05:30:00,NASDAQ:WEN,5.16,5.2375,5.05,5.08,4797883.0
2009-04-08 05:30:00,NASDAQ:WEN,5.13,5.39,5.06,5.24,5527449.0
2009-04-09 05:30:00,NASDAQ:WEN,5.35,5.75,5.35,5.57,11536293.0
2009-04-13 05:30:00,NASDAQ:WEN,5.52,5.55,5.33,5.5,7775059.0
2009-04-14 05:30:00,NASDAQ:WEN,5.47,5.47,5.26,5.3,3705901.0
