datetime,symbol,open,high,low,close,volume
2020-06-03 05:30:00,NASDAQ:WMG,27.0,30.85,26.99,30.12,34950894.0
2020-06-04 05:30:00,NASDAQ:WMG,32.51,34.76,29.0,30.0,13099627.0
2020-06-05 05:30:00,NASDAQ:WMG,30.5,30.8499,28.0,29.94,7450169.0
2020-06-08 05:30:00,NASDAQ:WMG,29.2,31.99,28.65,31.0,4215197.0
2020-06-09 05:30:00,NASDAQ:WMG,29.74,32.9799,29.5,32.0,8371436.0
2020-06-10 05:30:00,NASDAQ:WMG,32.1,32.8,30.57,31.05,2222969.0
2020-06-11 05:30:00,NASDAQ:WMG,29.22,30.47,29.0,29.99,3715477.0
2020-06-12 05:30:00,NASDAQ:WMG,30.44,31.1,30.12,30.77,2375667.0
2020-06-15 05:30:00,NASDAQ:WMG,29.99,32.48,29.83,32.09,1592636.0
2020-06-16 05:30:00,NASDAQ:WMG,32.5,32.72,31.17,31.98,2040597.0
2020-06-17 05:30:00,NASDAQ:WMG,31.78,32.58,31.5,32.56,835895.0
2020-06-18 05:30:00,NASDAQ:WMG,31.94,32.9,31.6,32.72,936417.0
2020-06-19 05:30:00,NASDAQ:WMG,32.9,34.0,32.3,32.86,5629124.0
2020-06-22 05:30:00,NASDAQ:WMG,32.82,32.98,31.77,31.99,1026926.0
2020-06-23 05:30:00,NASDAQ:WMG,32.05,32.1505,30.95,31.35,878390.0
2020-06-24 05:30:00,NASDAQ:WMG,31.04,31.9,31.02,31.33,594613.0
2020-06-25 05:30:00,NASDAQ:WMG,30.92,31.68,30.12,30.6,1120162.0
2020-06-26 05:30:00,NASDAQ:WMG,30.63,31.15,30.35,30.47,509799.0
2020-06-29 05:30:00,NASDAQ:WMG,30.94,32.21,30.5,31.43,1191111.0
2020-06-30 05:30:00,NASDAQ:WMG,31.31,31.61,29.33,29.5,2363227.0
2020-07-01 05:30:00,NASDAQ:WMG,30.05,30.49,28.55,29.45,1576170.0
2020-07-02 05:30:00,NASDAQ:WMG,29.55,30.05,29.06,29.35,594366.0
2020-07-06 05:30:00,NASDAQ:WMG,29.88,29.95,29.36,29.79,1088390.0
2020-07-07 05:30:00,NASDAQ:WMG,29.52,29.99,29.52,29.64,607274.0
2020-07-08 05:30:00,NASDAQ:WMG,30.0,30.48,29.7,29.98,727968.0
2020-07-09 05:30:00,NASDAQ:WMG,30.23,30.28,29.71,30.0,438185.0
2020-07-10 05:30:00,NASDAQ:WMG,29.85,31.0,29.78,30.88,364371.0
2020-07-13 05:30:00,NASDAQ:WMG,30.89,31.0,30.09,30.09,493238.0
2020-07-14 05:30:00,NASDAQ:WMG,29.85,30.03,29.57,29.64,345847.0
2020-07-15 05:30:00,NASDAQ:WMG,29.51,29.93,29.3,29.63,579000.0
2020-07-16 05:30:00,NASDAQ:WMG,29.44,30.5,29.31,29.69,300174.0
2020-07-17 05:30:00,NASDAQ:WMG,29.7,29.8,29.42,29.42,380945.0
2020-07-20 05:30:00,NASDAQ:WMG,29.42,29.6299,28.69,28.95,466490.0
