datetime,symbol,open,high,low,close,volume
2009-03-12 05:30:00,NASDAQ:WYNN,19.47,20.60001,18.41,20.52,2574152.0
2009-03-13 05:30:00,NASDAQ:WYNN,21.16,22.5,20.00999,20.8,2579567.0
2009-03-16 05:30:00,NASDAQ:WYNN,21.53999,21.85001,19.55,19.64999,1507597.0
2009-03-17 05:30:00,NASDAQ:WYNN,18.95,20.95,18.71001,20.72,6388070.0
2009-03-18 05:30:00,NASDAQ:WYNN,20.60001,21.41,19.35001,21.17,3566488.0
2009-03-19 05:30:00,NASDAQ:WYNN,21.3,21.95,19.95,20.78,2873254.0
2009-03-20 05:30:00,NASDAQ:WYNN,21.35001,21.39999,19.96001,20.53,2731752.0
2009-03-23 05:30:00,NASDAQ:WYNN,21.46001,23.60001,20.64,23.42999,4108031.0
2009-03-24 05:30:00,NASDAQ:WYNN,22.86,23.87,22.21001,22.36,2185122.0
2009-03-25 05:30:00,NASDAQ:WYNN,22.59,23.75,20.0,22.36,3155576.0
2009-03-26 05:30:00,NASDAQ:WYNN,22.72,23.09,21.39999,22.7,2390823.0
2009-03-27 05:30:00,NASDAQ:WYNN,21.98,22.78,21.32001,21.37,2107802.0
2009-03-30 05:30:00,NASDAQ:WYNN,20.37,20.78,19.0,19.19,2177699.0
2009-03-31 05:30:00,NASDAQ:WYNN,19.67999,20.2,19.0,19.97,2588047.0
2009-04-01 05:30:00,NASDAQ:WYNN,20.0,21.64,19.52,21.55,2913507.0
2009-04-02 05:30:00,NASDAQ:WYNN,23.24001,26.87,23.2399,26.85001,6977395.0
2009-04-03 05:30:00,NASDAQ:WYNN,26.50999,29.94,26.24001,29.64999,5661699.0
2009-04-06 05:30:00,NASDAQ:WYNN,30.95,33.0,30.71001,31.2,8186441.0
2009-04-07 05:30:00,NASDAQ:WYNN,30.31,30.50999,26.58,26.71001,5169473.0
2009-04-08 05:30:00,NASDAQ:WYNN,27.5,27.67999,25.83,27.67999,4355715.0
2009-04-09 05:30:00,NASDAQ:WYNN,29.11,32.0,28.91,30.27,4922500.0
2009-04-13 05:30:00,NASDAQ:WYNN,29.45,31.49001,28.5,31.44,3092903.0
2009-04-14 05:30:00,NASDAQ:WYNN,30.55,35.60001,30.50999,32.39,5307828.0
2009-04-15 05:30:00,NASDAQ:WYNN,31.55,33.13,31.53999,32.94,2891488.0
2009-04-16 05:30:00,NASDAQ:WYNN,33.03,34.25,32.5,33.47,3119409.0
2009-04-17 05:30:00,NASDAQ:WYNN,33.33,33.44,32.16,32.75999,3744676.0
2009-04-20 05:30:00,NASDAQ:WYNN,31.78,32.75,29.83,30.44,2342119.0
2009-04-21 05:30:00,NASDAQ:WYNN,29.91,31.85001,29.0,31.59,3284612.0
2009-04-22 05:30:00,NASDAQ:WYNN,31.22,35.66,31.12,34.56,5278137.0
2009-04-23 05:30:00,NASDAQ:WYNN,34.5,38.0,34.11,36.42999,5213645.0
2009-04-24 05:30:00,NASDAQ:WYNN,37.46001,40.16,36.94,39.53,5004406.0
2009-04-27 05:30:00,NASDAQ:WYNN,37.49001,40.0,36.75999,37.48,4320719.0
2009-04-28 05:30:00,NASDAQ:WYNN,36.25,37.84,35.77,36.23,3457579.0
