datetime,symbol,open,high,low,close,volume
2009-03-12 05:30:00,NASDAQ:ZION,8.17,9.23,7.8,9.18,8090645.0
2009-03-13 05:30:00,NASDAQ:ZION,9.85,9.95,8.8,9.42,5320738.0
2009-03-16 05:30:00,NASDAQ:ZION,9.72,11.3,9.62,9.98,6788191.0
2009-03-17 05:30:00,NASDAQ:ZION,10.34,10.85,10.0,10.85,4401969.0
2009-03-18 05:30:00,NASDAQ:ZION,10.31,11.96,10.27,11.73,6542875.0
2009-03-19 05:30:00,NASDAQ:ZION,12.08,12.256,10.41,10.47,5204414.0
2009-03-20 05:30:00,NASDAQ:ZION,10.55,10.6,9.67,9.92,4089176.0
2009-03-23 05:30:00,NASDAQ:ZION,11.16,11.67,10.56,11.66,4455793.0
2009-03-24 05:30:00,NASDAQ:ZION,11.19,11.74,10.43,10.43,4819223.0
2009-03-25 05:30:00,NASDAQ:ZION,10.6,11.2,9.76,10.52,4827070.0
2009-03-26 05:30:00,NASDAQ:ZION,10.8,10.91,10.4,10.88,4913688.0
2009-03-27 05:30:00,NASDAQ:ZION,10.57,11.07,10.37,10.46,3048270.0
2009-03-30 05:30:00,NASDAQ:ZION,10.08,10.19,9.32,9.38,2964241.0
2009-03-31 05:30:00,NASDAQ:ZION,9.43,10.07,9.12,9.83,4711426.0
2009-04-01 05:30:00,NASDAQ:ZION,9.58,10.49,9.51,10.38,3689235.0
2009-04-02 05:30:00,NASDAQ:ZION,11.07,11.5025,10.64,11.17,6141840.0
2009-04-03 05:30:00,NASDAQ:ZION,11.15,11.27,10.49,11.25,3555252.0
2009-04-06 05:30:00,NASDAQ:ZION,10.97,11.045,10.5,10.99,4322590.0
2009-04-07 05:30:00,NASDAQ:ZION,10.55,10.8376,10.26,10.26,2475054.0
2009-04-08 05:30:00,NASDAQ:ZION,10.31,10.46,9.45,9.78,3191546.0
2009-04-09 05:30:00,NASDAQ:ZION,10.92,12.36,10.425,12.36,6973867.0
2009-04-13 05:30:00,NASDAQ:ZION,11.87,13.5,11.5,13.44,7225867.0
2009-04-14 05:30:00,NASDAQ:ZION,13.34,14.14,12.0,12.03,7975328.0
2009-04-15 05:30:00,NASDAQ:ZION,12.0,12.91,11.54,12.83,4121820.0
2009-04-16 05:30:00,NASDAQ:ZION,12.99,14.0,12.27,13.7,7835418.0
2009-04-17 05:30:00,NASDAQ:ZION,13.86,15.61,13.24,15.02,8065910.0
