datetime,symbol,open,high,low,close,volume
2016-07-29 05:30:00,AMEX:ZOM,0.8291,0.8291,0.8291,0.8291,1050.0
2016-08-08 05:30:00,AMEX:ZOM,0.932,0.932,0.932,0.932,1400.0
2016-08-09 05:30:00,AMEX:ZOM,0.94,0.94,0.9082,0.9159,27000.0
2016-08-10 05:30:00,AMEX:ZOM,0.9553,0.9598,0.9553,0.9598,13000.0
2016-08-11 05:30:00,AMEX:ZOM,0.984,0.984,0.984,0.984,2000.0
2016-08-12 05:30:00,AMEX:ZOM,0.9833,1.008,0.9829,0.9829,16700.0
2016-08-15 05:30:00,AMEX:ZOM,1.0172,1.0881,1.0172,1.0881,2000.0
2016-08-16 05:30:00,AMEX:ZOM,1.1127,1.1197,1.1127,1.1197,12800.0
2016-08-17 05:30:00,AMEX:ZOM,1.1139,1.1139,1.1138,1.1138,4850.0
2016-08-18 05:30:00,AMEX:ZOM,1.116,1.116,1.116,1.116,450.0
2016-08-19 05:30:00,AMEX:ZOM,1.114,1.137,1.114,1.137,3000.0
2016-08-22 05:30:00,AMEX:ZOM,1.1192,1.123,1.1192,1.123,5835.0
2016-08-23 05:30:00,AMEX:ZOM,1.104,1.104,1.1039,1.1039,3500.0
2016-08-24 05:30:00,AMEX:ZOM,1.0949,1.0949,1.0949,1.0949,500.0
2016-08-30 05:30:00,AMEX:ZOM,1.005,1.005,1.005,1.005,700.0
2016-09-02 05:30:00,AMEX:ZOM,1.046,1.046,1.046,1.046,1100.0
2016-09-06 05:30:00,AMEX:ZOM,1.054,1.054,1.054,1.054,1000.0
2016-09-07 05:30:00,AMEX:ZOM,1.0925,1.0925,1.0925,1.0925,100.0
2016-09-08 05:30:00,AMEX:ZOM,1.0567,1.0567,1.0567,1.0567,1111.0
2016-09-16 05:30:00,AMEX:ZOM,1.06,1.06,1.06,1.06,300.0
2016-09-19 05:30:00,AMEX:ZOM,1.036,1.057,1.0264,1.0357,17200.0
2016-09-23 05:30:00,AMEX:ZOM,0.989,0.989,0.989,0.989,2000.0
2016-10-03 05:30:00,AMEX:ZOM,0.923,1.058,0.923,1.058,500.0
2016-10-18 05:30:00,AMEX:ZOM,1.0439,1.0439,1.0439,1.0439,8000.0
2016-10-20 05:30:00,AMEX:ZOM,0.998,0.998,0.998,0.998,2000.0
2016-10-21 05:30:00,AMEX:ZOM,1.0457,1.0457,1.0457,1.0457,10000.0
2016-10-24 05:30:00,AMEX:ZOM,1.1,1.3157,1.1,1.3154,7000.0
2016-10-26 05:30:00,AMEX:ZOM,1.17,1.17,1.17,1.17,110.0
2016-10-27 05:30:00,AMEX:ZOM,1.0914,1.1289,1.0725,1.1289,27900.0
2016-11-01 05:30:00,AMEX:ZOM,1.1238,1.1238,1.1238,1.1238,1062.0
2016-11-08 05:30:00,AMEX:ZOM,1.1291,1.1291,1.1291,1.1291,356.0
2016-11-09 05:30:00,AMEX:ZOM,1.1032,1.1034,1.103,1.1033,25000.0
2016-11-11 05:30:00,AMEX:ZOM,1.0966,1.0971,1.0966,1.0971,27200.0
2016-11-14 05:30:00,AMEX:ZOM,1.1032,1.1032,1.1032,1.1032,10000.0
2016-11-15 05:30:00,AMEX:ZOM,1.0881,1.0882,1.0877,1.0882,60000.0
2016-11-16 05:30:00,AMEX:ZOM,1.0775,1.0776,1.0774,1.0776,8800.0
2016-11-17 05:30:00,AMEX:ZOM,1.0304,1.0395,1.0304,1.0345,11410.0
2016-11-22 05:30:00,AMEX:ZOM,1.119,1.119,1.119,1.119,753.0
2016-11-25 05:30:00,AMEX:ZOM,1.047,1.047,1.047,1.047,500.0
2016-11-29 05:30:00,AMEX:ZOM,1.0281,1.03,1.0281,1.03,19224.0
2016-12-01 05:30:00,AMEX:ZOM,0.988,0.988,0.988,0.988,5500.0
2016-12-09 05:30:00,AMEX:ZOM,0.4304,0.97202,0.4304,0.97202,856.0
2016-12-12 05:30:00,AMEX:ZOM,0.9794,0.9794,0.9794,0.9794,100.0
2016-12-16 05:30:00,AMEX:ZOM,0.9032,0.9633,0.903,0.9633,13100.0
2016-12-19 05:30:00,AMEX:ZOM,0.9599,0.9599,0.9598,0.9598,1700.0
2016-12-20 05:30:00,AMEX:ZOM,0.9572,0.9907,0.9572,0.9907,5000.0
2016-12-22 05:30:00,AMEX:ZOM,1.0342,1.0342,1.0342,1.0342,5000.0
2016-12-23 05:30:00,AMEX:ZOM,1.0231,1.11,1.0231,1.11,8100.0
2016-12-29 05:30:00,AMEX:ZOM,1.0379,1.1366,1.0376,1.1366,24400.0
2016-12-30 05:30:00,AMEX:ZOM,1.0393,1.0393,1.0313,1.0313,800.0
2017-01-03 05:30:00,AMEX:ZOM,1.0325,1.039,1.0325,1.039,14900.0
2017-01-04 05:30:00,AMEX:ZOM,1.047,1.048,1.047,1.048,3600.0
2017-01-05 05:30:00,AMEX:ZOM,1.0468,1.0468,1.0468,1.0468,4000.0
2017-01-06 05:30:00,AMEX:ZOM,1.0564,1.0615,0.9367,1.0615,6500.0
2017-01-09 05:30:00,AMEX:ZOM,1.07,1.07,1.06,1.06,1100.0
2017-01-13 05:30:00,AMEX:ZOM,1.115,1.115,1.115,1.115,100.0
2017-01-17 05:30:00,AMEX:ZOM,1.122,1.122,1.122,1.122,1039.0
2017-01-18 05:30:00,AMEX:ZOM,1.1159,1.1159,1.1159,1.1159,100.0
2017-01-19 05:30:00,AMEX:ZOM,1.0233,1.0533,1.0233,1.0533,7000.0
2017-02-03 05:30:00,AMEX:ZOM,1.0242,1.0242,1.0242,1.0242,500.0
2017-02-13 05:30:00,AMEX:ZOM,1.026,1.027,1.026,1.027,16250.0
2017-02-21 05:30:00,AMEX:ZOM,0.8939,1.0382,0.8939,1.0382,6062.0
2017-02-22 05:30:00,AMEX:ZOM,1.029,1.029,1.0286,1.0286,10000.0
2017-02-23 05:30:00,AMEX:ZOM,1.025,1.025,1.025,1.025,900.0
2017-02-24 05:30:00,AMEX:ZOM,1.025,1.0403,1.025,1.0403,4685.0
2017-03-07 05:30:00,AMEX:ZOM,1.129,1.129,1.129,1.129,10000.0
