datetime,symbol,open,high,low,close,volume
2018-04-12 05:30:00,NYSE:ZUO,20.0,21.85,19.12,20.0,13102419.0
2018-04-13 05:30:00,NYSE:ZUO,19.8,20.82,19.6,20.6,1864667.0
2018-04-16 05:30:00,NYSE:ZUO,20.88,20.88,19.9,20.6,907867.0
2018-04-17 05:30:00,NYSE:ZUO,20.55,20.66,19.0,19.55,1152504.0
2018-04-18 05:30:00,NYSE:ZUO,19.61,20.42,19.0742,19.56,886009.0
2018-04-19 05:30:00,NYSE:ZUO,19.57,19.72,19.211,19.65,463459.0
2018-04-20 05:30:00,NYSE:ZUO,19.55,19.73,19.45,19.72,300461.0
2018-04-23 05:30:00,NYSE:ZUO,19.83,20.1,19.6176,20.0,341860.0
2018-04-24 05:30:00,NYSE:ZUO,20.12,20.12,19.41,19.7,308490.0
2018-04-25 05:30:00,NYSE:ZUO,19.72,19.73,19.4,19.61,272858.0
2018-04-26 05:30:00,NYSE:ZUO,19.68,20.28,19.6021,20.28,218829.0
2018-04-27 05:30:00,NYSE:ZUO,19.87,20.22,19.55,19.61,573943.0
2018-04-30 05:30:00,NYSE:ZUO,19.55,19.88,19.2,19.26,211828.0
2018-05-01 05:30:00,NYSE:ZUO,19.37,19.891,19.28,19.67,149731.0
2018-05-02 05:30:00,NYSE:ZUO,19.92,20.19,19.5,19.59,219982.0
2018-05-03 05:30:00,NYSE:ZUO,19.59,20.02,19.2,19.66,283046.0
2018-05-04 05:30:00,NYSE:ZUO,19.87,19.98,19.3791,19.55,145622.0
2018-05-07 05:30:00,NYSE:ZUO,19.39,19.47,18.75,19.25,417130.0
2018-05-08 05:30:00,NYSE:ZUO,19.28,19.66,19.11,19.51,167944.0
2018-05-09 05:30:00,NYSE:ZUO,19.48,19.9,19.33,19.79,123406.0
2018-05-10 05:30:00,NYSE:ZUO,19.8,20.18,19.42,20.04,169461.0
2018-05-11 05:30:00,NYSE:ZUO,20.08,20.35,19.51,20.16,264366.0
2018-05-14 05:30:00,NYSE:ZUO,20.3,20.35,19.75,19.89,159986.0
2018-05-15 05:30:00,NYSE:ZUO,19.81,19.845,19.17,19.22,192980.0
2018-05-16 05:30:00,NYSE:ZUO,19.23,19.71,19.2,19.36,107992.0
2018-05-17 05:30:00,NYSE:ZUO,19.3,19.75,19.3,19.69,68539.0
2018-05-18 05:30:00,NYSE:ZUO,19.66,20.02,19.65,19.67,99083.0
2018-05-21 05:30:00,NYSE:ZUO,19.64,19.739,19.3292,19.63,153806.0
2018-05-22 05:30:00,NYSE:ZUO,19.66,19.77,19.66,19.73,131158.0
2018-05-23 05:30:00,NYSE:ZUO,19.6,20.299,19.58,20.01,301668.0
2018-05-24 05:30:00,NYSE:ZUO,20.0,21.24,19.65,21.01,309013.0
2018-05-25 05:30:00,NYSE:ZUO,20.97,22.189,20.97,21.4,410098.0
2018-05-29 05:30:00,NYSE:ZUO,21.4,21.51,20.0,20.67,329555.0
2018-05-30 05:30:00,NYSE:ZUO,20.9,22.01,20.67,21.94,316402.0
2018-05-31 05:30:00,NYSE:ZUO,21.84,22.96,21.67,22.18,429767.0
2018-06-01 05:30:00,NYSE:ZUO,23.12,27.5,22.22,26.4,2136948.0
2018-06-04 05:30:00,NYSE:ZUO,29.16,29.88,27.3001,28.02,1969197.0
2018-06-05 05:30:00,NYSE:ZUO,28.71,29.93,28.17,28.54,1187847.0
2018-06-06 05:30:00,NYSE:ZUO,28.9,31.0,28.68,30.2,1076080.0
2018-06-07 05:30:00,NYSE:ZUO,30.74,30.7765,27.15,27.8,1050509.0
2018-06-08 05:30:00,NYSE:ZUO,28.04,29.57,28.01,29.23,535300.0
2018-06-11 05:30:00,NYSE:ZUO,29.47,32.55,29.28,31.53,1168374.0
2018-06-12 05:30:00,NYSE:ZUO,32.29,33.08,28.97,29.0,1369111.0
2018-06-13 05:30:00,NYSE:ZUO,29.75,30.15,29.1,29.74,1000642.0
2018-06-14 05:30:00,NYSE:ZUO,30.75,32.97,30.58,31.34,1525361.0
2018-06-15 05:30:00,NYSE:ZUO,31.55,36.0,31.25,34.63,4141923.0
2018-06-18 05:30:00,NYSE:ZUO,35.06,37.78,34.11,37.09,3329408.0
2018-06-19 05:30:00,NYSE:ZUO,36.06,37.69,32.66,33.51,2736677.0
2018-06-20 05:30:00,NYSE:ZUO,35.84,35.87,32.0,32.01,1720913.0
2018-06-21 05:30:00,NYSE:ZUO,31.96,32.05,28.88,29.19,2759441.0
2018-06-22 05:30:00,NYSE:ZUO,29.64,29.9099,26.6,27.64,2571855.0
2018-06-25 05:30:00,NYSE:ZUO,26.67,29.0,26.2801,28.68,1874233.0
2018-06-26 05:30:00,NYSE:ZUO,29.0,30.1,27.09,27.47,1553773.0
2018-06-27 05:30:00,NYSE:ZUO,27.6,28.49,26.46,26.96,1651402.0
