Ticker,Description,Price,Change %,Change,Volume,Volume*Price,Market Capitalization,Relative Volume at Time,"Change 1m, %","Change 5m, %",Exchange,Pre-market Change,Open,Change from Open
SFT,"Shift Technologies, Inc.",0.2733,1.10987791,0.003,3194182,872969.9406,46454856,0.60856212,8.5119403,7.70814815,NASDAQ,-0.0153,0.243,0.0303
FOXO,FOXO Technologies Inc.,1.49,24.16666667,0.29,7419479,11055023.71,46468733,0.70036864,4.75386779,3.44444444,NYSE ARCA,0,1.17,0.32
NEPT,Neptune Wellness Solutions Inc.,1,21.95121951,0.18,503024,503024,11725451,1.90709295,3.66121029,4.3950308,NASDAQ,-0.02,0.82,0.18
BBAI,"BigBear.ai, Inc.",5.19,44.16666667,1.59,55029842,285604879.98,655368572,5.87475383,2.8741328,2.36686391,NYSE,-0.07,3.53,1.66
KSCP,"Knightscope, Inc.",1.66,1.2195122,0.02,482479,800915.14,60432915.86,1.98181754,2.45398773,3.40557276,NASDAQ,-0.02,1.6,0.06
CRKN,Crown Electrokinetics Corp.,0.3425,7.03125,0.0225,18161163,6220198.3275,6942534,8.53087335,2.16058394,1.09794857,NASDAQ,0.09,0.4114,-0.0689
THCH,TH International Limited,3.59,-1.10192837,-0.04,449018,1611974.62,535561694,3.70600334,1.98300283,3.74639769,NASDAQ,-0.03,3.54,0.05
BVS,Bioventus Inc.,2.1,-4.54545455,-0.1,690422,1449886.2,163251043.00000003,4.72786036,1.95121951,0.48076923,NASDAQ,0,2.2,-0.1
NUWE,"Nuwellis, Inc.",9.29,8.65497076,0.74,1299893,12076005.97,4825328,2.82107245,1.86199343,1.08695652,NASDAQ,0.11,8.79,0.5
FRGT,"Freight Technologies, Inc.",0.5599,18.32206255,0.0867,11194600,6267856.54,5695288,1.34739016,1.72445423,2.62816954,NASDAQ,-0.0197,0.4436,0.1163
HYPR,"Hyperfine, Inc.",1.18,0.85470085,0.01,1450107,1711126.26,83399774,0.45916417,1.72413793,-0.84033613,NASDAQ,-0.05,1.13,0.05
EIGR,"Eiger BioPharmaceuticals, Inc.",2.1,-2.3255814,-0.05,759250,1594425,92555991.00000001,1.17986952,1.68674699,0.71599045,NASDAQ,-0.1,2.05,0.05
TSHA,"Taysha Gene Therapies, Inc.",1.21,2.54237288,0.03,757157,916159.97,75555161,0.70902863,1.65289256,0.81967213,NASDAQ,0.0099,1.18,0.03
CYN,Cyngn Inc.,1.24,3.76569038,0.045,940955,1166784.2,41764180.00000001,1.46099632,1.61290323,0.8,NASDAQ,-0.005,1.21,0.03
BHAT,Blue Hat Interactive Entertainment Technology,0.695,6.93952916,0.0451,826698,574555.11,6588564,1.18529247,1.45985401,-0.71428571,NASDAQ,-0.0199,0.66,0.035
VERX,"Vertex, Inc.",16.05,4.35630689,0.67,280344,4499521.2,2408140014.9999995,2.64779423,1.45385588,2.35969388,NASDAQ,,15.07,0.98
ASTR,"Astra Space, Inc.",0.6696,1.05644431,0.007,4079298,2731497.9408,179095333.00000003,3.20339873,1.31559497,1.36054422,NASDAQ,-0.0156,0.655,0.0146
CMPX,"Compass Therapeutics, Inc.",3.95,-0.50377834,-0.02,1307890,5166165.5,498456332,6.09183602,1.27877238,1.53846154,NASDAQ,0.16,4.06,-0.11
LMDX,LumiraDx Limited,1.2,14.70082202,0.1538,650646,780775.2,399826617.99999994,5.0709238,1.26582278,-1.63128125,NASDAQ,,1.03,0.17
RSLS,"ReShape Lifesciences, Inc.",17.04,170.47619048,10.74,11669743,198852420.72,8847134,,1.23871407,0.73858821,NASDAQ,6.9,13.14,3.9
QNCX,"Quince Therapeutics, Inc.",1,5.8313049,0.0551,804313,804313,36130306,0.15349502,1.18157948,-1.7745098,NASDAQ,0.035,0.9738,0.0262
VRAR,"The Glimpse Group, Inc.",5.08,7.85562633,0.37,309564,1572585.12,69066331,,1.17878193,1.5298478,NASDAQ,-0.06,4.71,0.37
HLLY,Holley Inc.,3.48,-0.85470085,-0.03,586531,2041127.88,411481300.99999994,2.08729556,1.1627907,0.14388489,NYSE,,3.47,0.01
DOMA,"Doma Holdings, Inc.",0.8811,17.48,0.1311,1077073,949009.0203,289437773,3.12824896,1.11350983,-0.01123596,NYSE,0.015,0.741,0.1401
CIFR,Cipher Mining Inc.,1.84,-8,-0.16,2105464,3874053.76,455495608,1.5319359,1.0989011,1.93905817,NASDAQ,0.02,2.06,-0.22
ATNX,"Athenex, Inc.",0.221,15.6462585,0.0299,12142788,2683556.148,34787631,24.82823941,1.08303249,0.17889088,NASDAQ,0.0139,0.2028,0.0182
KOPN,Kopin Corporation,1.39,2.20588235,0.03,704365,979067.35,151682995,1.60387973,1.08303249,1.44927536,NASDAQ,-0.05,1.33,0.06
SOUN,"SoundHound AI, Inc.",2.82,43.87755102,0.86,45282591,127696906.61999997,113918412,9.38006192,1.07142857,1.25223614,NASDAQ,-0.05,1.9,0.92
AWH,Aspira Women's Health Inc.,0.5552,26.18181818,0.1152,936299,519833.2048,69175083,3.93676792,1.06362638,1.83486239,NASDAQ,0.0499,0.4894,0.0658
IMUX,"Immunic, Inc.",2.87,11.67315175,0.3,1292315,3708944.05,127307734,1.81313791,1.05633803,1.2345679,NASDAQ,-0.08,2.535,0.335
VBIV,"VBI Vaccines, Inc.",0.615,-4.2205264,-0.0271,845679,520092.585,158828369,2.3434044,1.04065041,0.0483014,NASDAQ,-0.0201,0.6398,-0.0248
BDSX,"Biodesix, Inc.",1.93,-10.23255814,-0.22,307302,593092.86,148935236,2.69154344,1.03626943,0.25706941,NASDAQ,,2.08,-0.15
AMV,"Atlis Motor Vehicles, Inc.",3.15,-4.54545455,-0.15,460071,1449223.65,127201375.35,0.66405341,0.99401045,1.53097175,NASDAQ,-0.1,3.27,-0.12
CVRX,"CVRx, Inc.",19.4,4.92157923,0.91,282857,5487425.8,399332730,2.26422503,0.98906819,1.14702815,NASDAQ,-0.05,18.41,0.99
PRCH,"Porch Group, Inc.",3.61,1.12044818,0.04,2669767,9637858.87,363001916,3.62479292,0.97902098,1.54711674,NASDAQ,-0.01,3.52,0.09
LAB,Standard BioTools Inc.,2.08,1.96078431,0.04,260712,542280.96,164936604.99999997,2.14756213,0.96153846,1.44927536,NASDAQ,,1.98,0.1
CNET,ZW Data Action Technologies Inc.,2.1,18.63736512,0.3299,603270,1266867,15047623,2.10912769,0.95668477,0.96153846,NASDAQ,0.0299,1.77,0.33
GOVX,"GeoVax Labs, Inc.",0.935,1.63043478,0.015,754726,705668.81,24623181,0.66255391,0.95176471,0.83313749,NASDAQ,-0.03,0.9169,0.0181
CONL,GraniteShares 1.5x Long Coinbase Daily ETF,12.95,-12.5590817,-1.86,649679,8413343.05,,1.99317338,0.9375,1.09546166,NASDAQ,-2.15,12.7,0.25
MNTS,Momentus Inc.,1.07,3.88349515,0.04,622147,665697.29,90040204,2.53395678,0.93457944,0.92514718,NASDAQ,0.0485,1.04,0.03
VXRT,"Vaxart, Inc. - Common Stock",1.08,-1.81818182,-0.02,1933691,2088386.28,141749033,2.63322449,0.92592593,1.70756742,NASDAQ,0.03,1.1,-0.02
HYMC,Hycroft Mining Holding Corporation,0.566,-4.98573107,-0.0297,2951106,1670325.996,113070156,2.44355827,0.91743119,1.38248848,NASDAQ,-0.0151,0.58,-0.014
DHC,Diversified Healthcare Trust,0.745,2.56057269,0.0186,3239511,2413435.695,178579227,2.35937436,0.90749018,0.24219591,NASDAQ,0.0046,0.75,-0.005
CYXT,"Cyxtera Technologies, Inc.",2.83,2.90909091,0.08,779131,2204940.73,508317491,1.30004962,0.88809947,0.70921986,NASDAQ,-0.13,2.7,0.13
